ISBN,Titel,AutorID,Kategorie
9783608938265,Geschichten aus dem gefährlichen Königreich ,TolkJRR,Fanta
9783608938203,Nachrichten aus Mittelerde ,TolkJRR,Fanta
9783608960884,Das Buch de verschollenen Geschichten 1/2,TolkJRR,Fanta
9783608937954,Die Legend von Sigurd und Gudrun,TolkJRR,Fanta
9783608960402,Roverandom,TolkJRR,Fanta
9783608960501,König Arthurs Untergang,TolkJRR,Fanta
9783785723029,Der Künstler,TolkJRR,Fanta
9780062458414,United as One,LorePit,Fanta
9783453314788,Sturmklänge,SandBra,Fanta
9783453523364,Mistborn - Kinder des Nebels,SandBra,Fanta
9783453523371,Mistborn - Krieger des Feuers,SandBra,Fanta
9783453523388,Mistborn - Herrscher des Lichts,SandBra,Fanta
9783453529427,Mistborn-Jäger der Macht,SandBra,Fanta
9783453317109,Sturmlicht - Der Weg der Könige,SandBra,Fanta
9783453267688,Sturmlicht - Der Pfad der Winde,SandBra,Fanta
9783453267473,Sturmlicht  - Die Worte des Lichts ,SandBra,Fanta
9783453267480,Sturmlicht  - Die Stürme des Zorns,SandBra,Fanta
9783453524149,Alcatraz und die dunkle Bibliothek,SandBra,Fanta
9783453524156,Alcatraz und das Pergament des Todes,SandBra,Fanta
9783570401514,Alcatraz und die Ritter von Crystallia,SandBra,Fanta
9783641112813,Alcatraz und die letzte Schlacht,SandBra,Fanta
9783492285513,Das Rad der Zeit - Drohende Schatten,JordRob,Fanta
9783492285520,Das Rad der Zeit - Das Auge der Welt,JordRob,Fanta
9783492285537,Das Rad der Zeit - Die große Jagd,JordRob,Fanta
9783492285544,Das Rad der Zeit - Das Horn von Valere,JordRob,Fanta
9783492285551,Das Rad der Zeit - Der wiedergeborene Drache,JordRob,Fanta
9783492285568,Das Rad der Zeit - Die Straße des Speers,JordRob,Fanta
9783492285575,Das Rad der Zeit - Schattensaat,JordRob,Fanta
9783453085275,Das Rad der Zeit - Die Heimkehrerer,JordRob,Fanta
9783492285599,Das Rad der Zeit - Der Sturm bricht los,JordRob,Fanta
9783492285773,Das Rad der Zeit - Zwielicht,JordRob,Fanta
9783492285612,Das Rad der Zeit - Scheinangriff,JordRob,Fanta
9783492285629,Das Rad der Zeit - Der Drache schlägt zurück,JordRob,Fanta
9783492285636,Das Rad der Zeit - Die Fühler des Chaos,JordRob,Fanta
9783492285643,Das Rad der Zeit - Stadt des Verderbens,JordRob,Fanta
9783492285650,Das Rad der Zeit - die Amyrlin,JordRob,Fanta
9783492285667,Das Rad der Zeit - die Hexenschlacht,JordRob,Fanta
9783492285674,Das Rad der Zeit - Die zerbrochene Krone,JordRob,Fanta
9783492285681,Das Rad der Zeit - Wolken über Ebou Dar,JordRob,Fanta
9783492285698,Das Rad der Zeit - Der Dolchstoß,JordRob,Fanta
9783492285704,Das Rad der Zeit - Die Schale der Winde,JordRob,Fanta
9783492285711,Das Rad der Zeit - Der Pfad der Dolche,JordRob,Fanta
9783492285728,Das Rad der Zeit - Neue Bündnisse,JordRob,Fanta
9783492285735,Das Rad der Zeit - Kriegswirren,JordRob,Fanta
9783492285742,Das Rad der Zeit - Das Herz des Winters,JordRob,Fanta
9783492285759,Das Rad der Zeit - Die Herrschaft der Seanchaner,JordRob,Fanta
9783492285766,Das Rad der Zeit - Die Flucht der Sklaven,JordRob,Fanta
9783492285773,Das Rad der Zeit - Pfade ins Zwielicht,JordRob,Fanta
9783492285780,Das Rad der Zeit - Die weiße Burg,JordRob,Fanta
9783492285797,Das Rad der Zeit - Der neue Frühling,JordRob,Fanta
9783492286176,Das Rad der Zeit - Die Klinge der Träume,JordRob,Fanta
9783492286220,Das Rad der Zeit - Der Untergang der Shaido,JordRob,Fanta
9783492286312,Das Rad der Zeit – Der aufziehende Sturm,JordRob,Fanta
9783492286329,Das Rad der Zeit – Die Macht des Lichts,JordRob,Fanta
9783492268370,Das Rad der Zeit – Der Traum des Wolfs,JordRob,Fanta
9783492268387,Das Rad der Zeit – Die Türme der Mitternacht,JordRob,Fanta
9783492268257,Das Rad der Zeit – Die Schlacht der Schatten,SandBra,Fanta
9783492268264,Das Rad der Zeit – Das Gedächtnis des Lichts,SandBra,Fanta
9783453269866,Der Rithmatist,SandBra,Fanta
9783404164219,Das Böse in uns,McFaCod,Thril
9783404165810,Ausgelöscht,McFaCod,Thril
9783404167753,Der Menschenmacher,McFaCod,Thril
9783746623238,Gegenpäpstin,AndrMar,Thril
9783746626154,Schamanenfeuer,AndrMar,Thril
9783746627267,Teufelshure,AndrMar,Thril
9783746629933,Geheimnis des Templers,AndrMar,Hist
9783746631523,Totentanz,AndrMar,Liebe
9783404608065,Schmitz’ Häuschen ,SchmRal,Comed
9783791504964,Reckless - Das goldene Garn,FunkCor,Fanta
9783442268887,Das Erbe der Halblinge,BekkAlf,Fanta
9783442268894,Der Befreier der Halblinge,BekkAlf,Fanta
9783442477111,Der Feenturm,Aileen P. Roberts,Fanta
9783943378153,Feenfeuer,Aileen P. Roberts,Fanta
9783548373997,Chill Mal Frau Freitag,Frau Feitag,Comed
9783442479443,Die Bestimmung, Veronica Roth,Fanta
9783570161562,Die Bestimmung - Tödliche Wahrheit, Veronica Roth,Fanta
9783570161579,Die Bestimmung - Letzte Entscheidung , Veronica Roth,Fanta
9783570163634,Die Bestimmung - Fours Geschicht, Veronica Roth,Fanta
9783442367627,Bartimäus - Das Amulett von Samarkand,StroJon,Fanta
9783442370030,Bartimäus - Das Auge des Golem,StroJon,Fanta
9783570219577,Bartimäus - Die Pforte des Magiers,StroJon,Fanta
9783570223031,Bartimäus - Der Ring des Salomo,StroJon,Fanta
9783442383214,Der Ruf des Kuckucks,Robert Galbraith,Thril
9783764505158,Der Seidenspinner,Robert Galbraith,Thril
9783596195374,Das Jahr das 2 Sekunden brauchte,Rachel Joyce,Gegen
9783570159637,Lookwood & Co. - Die raunende Maske,StroJon,Fanta
9783404171781,Er ist wieder da,Timur Vermes,Gegen
9783785723920,Thor ,Hohlbein,Fanta
9783833939013,Die Tochter der Midgardschlange,Hohlbein,Fanta
9780061974618,The Fall of Five,LorePit,Fanta
9780062194725,The Revenge of Seven,LorePit,Fanta
9780062194756,The Fate of Ten,LorePit,Fanta
9780689869129,The Rivers of Zadaa,MacHDon,Fanta
9780718156497,The Rise of Nine,LorePit,Fanta
9781416914174,The Pilgrims of Rayne,MacHDon,Fanta
9781416914198,Raven Rise,MacHDon,Fanta
9781416914211,The Soldiers of Halla,MacHDon,Fanta
9781416957799,Black Water,MacHDon,Fanta
9781473209350,Mitosis,SandBra,SciFi
9781597372886,The Qullan Games,MacHDon,Fanta
9783000390098,Der Puzzelmörder von Zons,ShepCat,Krimi
9783150060605,Dantons Tod,BüchGeo,Jugen
9783351041281,Ich bin Nummer 4,LorePit,Fanta
9783351041557,Die Macht der 6,LorePit,Fanta
9783404148660,Illuminati,BrowDan,Thril
9783404154852,Sakrileg,BrowDan,Thril
9783404157624,Diabolus,BrowDan,Thril
9783404158539,Die Blutlinie,McFaCod,Fanta
9783404158638,Das Magdalena Evangelium,McGoKat,Thril
9783404159574,Das dritte Geheimnis,RochLui,Thril
9783404160006,Das verlorene Symbol,BrowDan,Thril
9783404162734,Der Todeskünstler,McFaCod,Thril
9783404164981,Das Jesus Testament,McGoKat,Thril
9783404169757,Inferno,BrowDan,Thril
9783404607235,Als ich mich nackt auf die Haarbürste setzte,DrebSin,Comed
9783404770021,Der Heilige Gral und seine Erben,LincLei,Esot
9783423211291,Kühlfach 4,ProfJut,Krimi
9783423212625,Erbarmen,AdleJus,Thril
9783423214124,Der kleine Hobbit,TolkJRR,Fanta
9783423214278,Schändung,AdleJus,Thril
9783423214933,Erlösung,AdleJus,Thril
9783423215435,Verachtung,AdleJus,Thril
9783423215732,Das Washington Dekret,AdleJus,Thril
9783423216203,Erwartung,AdleJus,Thril
9783423248945,Alphabethaus,AdleJus,Thril
9783423280488,Verheißung,AdleJus,Thril
9783423280709,Takeover,AdleJus,Thril
9783423345705,Ein amerikanischer Traum – Die Geschichte meiner Familie,ObamBar,Polit
9783423428040,Das Versteck - Der Spalt von Lünen,AdleJus,Thril
9783426502365,Das verschollene Pergament,LoveHen,Thril
9783426637470,Das Judasgift,McBaSco,Thril
9783431039009,Der Jesus-Deal,EschAnd,SciFi
9783442217861,Gespräche mit Gott - Teil 1,WalsNea,Esot
9783442266494,Pendragon: Der Anfang,MacHDon,Fanta
9783442266616,Pendragon: Durch Raum und Zeit,MacHDon,Fanta
9783442266975,Fabelheim,MullBra,Fanta
9783442268207,Fabelheim - Die Gesellschaft des Abendsterns,MullBra,Fanta
9783442268801,Fabelheim - Die Schattenplage,MullBra,Fanta
9783442268870,Der Sohn der Halblinge,BekkAlf,Fanta
9783442365005,Das geheime Abendmahl,SierJav,Hist
9783442370108,Eragon - Das Vermächtnis der Drachenreiter,PaolChr,Fanta
9783442370115,Eragon - Der Auftrag des Ältesten,PaolChr,Fanta
9783442382620,Eragon - Das Erbe der Macht,PaolChr,Fanta
9783442478958,Fifty Shades of Grey - Geheimes Verlangen,JameEri,Liebe
9783453013803,Vergebung,LarsSti,Thril
9783453268999,Steelheart,SandBra,SciFi
9783453269002,Firefight,SandBra,SciFi
9783453315242,Die Seele des Königs,SandBra,Fanta
9783453357655,Alles muss versteckt sein,LoreWie,Thril
9783453438200,Verblendung,LarsSti,Thril
9783453503212,Das magische Messer,PullPhi,Fanta
9783453503731,Das Bernstein Teleskop,PullPhi,Fanta
9783453503861,Verdammnis,LarsSti,Thril
9783453523333,Elfenritter - Die Ordensritter,HennBer,Fanta
9783453523425,Elfenritter - Die Albenmark,HennBer,Fanta
9783453523432,Elfenritter - Das Fjordland,HennBer,Fanta
9783453527164,Elantris,SandBra,Fanta
9783453602045,Made in Germany,YanaKay,Comed
9783462037593,Deutschland ein Sommermärchen,WortSön,Biogr
9783473580088,Die Welle,RhueMor,Jugen
9783473580149,Die Wolke,PausGud,Jugen
9783492258111,Genesis Secret,KnoxTom,Thril
9783492307772,Scriptum,KhouRay,Thril
9783499244759,Immortalis,KhouRay,Thril
9783499247538,Das Vierte Geheimnis,ThorJos,Thril
9783499252693,Das Buch der Lügen,MeltBra,Thril
9783499256431,Daemon,SuarDan,SciFi
9783499626944,Du hast mich auf dem Balkon vergessen,AnnaAxe,Comed
9783499628092,Ist meine Hose noch bei euch?,AnnaAxe,Comed
9783499630125,Ich guck mal, ob du in der Küche liegst,AnnaAxe,Comed
9783499630514,Ich bin da, aber die Haustür nicht,AnnaAxe,Comed
9783551354013,Harry Potter und der Stein der Weisen,RowlJoa,Fanta
9783551354020,Harry Potter und die Kammer des Schrecken,RowlJoa,Fanta
9783551354037,Harry Potter und der Gefangene von Askaban,RowlJoa,Fanta
9783551354044,Harry Potter und der Gefangene von Askaban,RowlJoa,Fanta
9783551354051,Harry Potter und der Orden des Phoenix,RowlJoa,Fanta
9783551354068,Harry Potter und der Halbblutprinz,RowlJoa,Fanta
9783551354075,Harry Potter und die Heiligtümer des Todes,RowlJoa,Fanta
9783551357182,Der goldene Kompass,PullPhi,Fanta
9783570157107,Lockwood & Co. - Der wispernde Schädel,StroJon,Fanta
9783570400876,Eragon - Die Weisheit des Feuers,PaolChr,Fanta
9783570403099,Lookwood & Co. - Die seufzende Wendeltrepp,StroJon,Fanta
9783596179121,Agnes,StamPet,Jugen
978359617978,Schmitz Katze,SchmRal,Comed
9783596191109,Schmitz Mama,SchmRal,Comed
9783608937626,Die Kinder Hurins,TolkJRR,Fanta
9783608938197,Das Silmarillion,TolkJRR,Fanta
9783608939811,Der Herr der Ringe - Die Gefährten,TolkJRR,Fanta
9783608939828,Der Herr der Ringe - Die 2 Türme,TolkJRR,Fanta
9783608939835,Der Herr der Ringe - Die Rückkehr des Königs,TolkJRR,Fanta
9783734160448,Fabelheim - Im Kerker der Dämonen,MullBra,Fanta
9783746624983,Das Rätsel der Templer,AndrMar,Hist
9783746629513,Die Rückkehr der Templer,AndrMar,Hist
9783764504922,Zero - Sie wissen was du tust,ElsbMar,SciFi
9783764530914,Fabelheim - Die Zuflucht der Drachen,MullBra,Fanta
9783785724156,Das Magdalena Vermächtnis,McGoKat,Thril
9783789132186,Die Tribute von Panem - Tödliche Spiele,CollSuz,SciFi
9783789132193,Die Tribute von Panem - Gefährliche Liebe,CollSuz,SciFi
9783789132209,Die Tribute von Panem - Flammender Zorn,CollSuz,SciFi
9783791504858,Reckless - Steinernes Fleisch,FunkCor,Fanta
9783791504896,Reckless - Lebendige Schatten,FunkCor,Fanta
9783841204158,Das Vermächtnis von Nummer 6,LorePit,Fanta
9783841500120,Tintenherz,FunkCor,Fanta
9783841500137,Tintenblut,FunkCor,Fanta
9783841500144,Tintentod,FunkCor,Fanta
9783841500625,Lippels Traum,MaarPau,Jugen
